ticket_id,account_id,created_at,category,resolution_hours,sentiment_score
1,112.0,2025-05-11,performance,62,-0.9104188939662363
2,106.0,2025-06-20,performance,16,-0.25244979586153193
3,281.0,2025-04-29,feature_request,33,0.14841335446171633
4,,2025-06-01,integration,24,-0.3197566948764916
5,459.0,2025-12-06,billing,9,0.4015188677427499
6,401.0,2026-01-18,performance,67,0.8146529947009633
7,305.0,2025-11-19,integration,10,-0.41563469067362746
8,97.0,2026-02-18,integration,27,-0.9491102322376537
9,246.0,2025-09-23,feature_request,29,-0.676402650935902
10,157.0,2025-10-30,bug,44,-0.9979630136356739
11,297.0,2025-09-03,feature_request,26,0.30808283551424553
12,147.0,2025-05-02,integration,48,0.7307801127689373
13,214.0,2025-12-21,feature_request,28,0.8624241779711153
14,27.0,2025-10-24,feature_request,50,-0.24470489478267332
15,299.0,2025-05-26,feature_request,18,0.24497596277758427
16,352.0,2025-04-09,billing,21,-0.9424825211107357
17,281.0,2026-02-21,integration,57,-0.06262208429793326
18,148.0,2025-09-19,billing,59,0.08355714654425106
19,,2026-02-04,integration,17,0.7783051141620994
20,384.0,2025-12-20,feature_request,14,-0.18687810116332204
21,428.0,2025-11-21,billing,29,0.2123826294089186
22,314.0,2025-07-08,feature_request,13,0.17754794360593285
23,301.0,2025-06-01,bug,51,-0.9718703349742275
24,69.0,2025-06-03,performance,17,0.23420453846375056
25,425.0,2025-09-15,billing,25,0.002658167706800052
26,47.0,2026-02-15,performance,11,0.8839255860948318
27,49.0,2025-06-29,integration,65,-0.8396806206677334
28,,2026-01-28,performance,54,-0.9794249424985702
29,,2025-04-16,integration,58,-0.966236660179854
30,142.0,2025-10-26,feature_request,59,0.2650295336241102
31,390.0,2026-01-25,integration,43,-0.5346769843093553
32,273.0,2026-01-18,feature_request,49,0.9593256245216146
33,,2026-02-21,feature_request,1,0.8851233835150261
34,181.0,2025-11-27,bug,26,-0.39484657785359456
35,61.0,2025-04-30,feature_request,69,-0.8786466867511731
36,164.0,2025-10-03,performance,48,-0.5752239839076201
37,364.0,2025-11-22,performance,5,0.5431908161006693
38,177.0,2025-04-26,performance,52,0.2926406538589499
39,451.0,2025-12-05,billing,10,-0.8228621819823732
40,94.0,2026-03-12,bug,39,0.8742764166511721
41,320.0,2026-01-14,billing,48,-0.594009549975608
42,107.0,2026-01-27,integration,58,0.7454425094120818
43,,2026-01-25,integration,9,-0.03013744738957591
44,84.0,2025-12-06,bug,46,-0.19769906640675328
45,475.0,2026-03-21,feature_request,4,0.7946169272103984
46,234.0,2025-09-03,integration,39,0.7177343980875899
47,176.0,2025-05-04,feature_request,49,0.8900185055041983
48,414.0,2025-07-26,billing,49,-0.7655087919387062
49,162.0,2025-09-16,feature_request,4,-0.9588286144605054
50,59.0,2025-05-04,billing,69,-0.003688519690989045
51,383.0,2026-01-26,billing,69,0.3958753673051576
52,,2025-11-17,integration,12,-0.9704076068899967
53,266.0,2026-01-25,integration,13,-0.3097477956267711
54,14.0,2025-07-19,billing,66,0.15389228447827774
55,142.0,2025-05-19,performance,24,0.901270188526359
56,386.0,2025-10-09,bug,57,-0.4876017119915661
57,74.0,2025-05-03,performance,27,0.6997851460926492
58,109.0,2025-10-17,feature_request,29,-0.8139498441078215
59,15.0,2025-12-02,billing,6,-0.00818089587117754
60,48.0,2025-06-01,performance,65,-0.7477024558623131
61,55.0,2025-09-16,feature_request,42,-0.24531231006190102
62,373.0,2026-02-14,integration,37,0.0441655288684224
63,320.0,2025-05-13,feature_request,36,-0.9182429624761561
64,179.0,2025-09-27,billing,30,0.44614356885657247
65,474.0,2025-04-11,feature_request,14,-0.12255442400172933
66,,2025-12-29,performance,71,0.21734951963278282
67,417.0,2025-08-27,performance,16,0.970341291868033
